Classification,Category,Business,Address,City,Zip,ACCOUNT START DATE
MOBILE CANTEEN,FOOD - DRINK,"JUNIOR'S ""ONE THE GO""",85 ROSS LN,LONOKE,72086,7/30/20
CONSULTANTS,PROFESSIONALS,CLEAN SLATE NUTRITION,8 BERTWOOD DR,LITTLE ROCK,72205,9/11/15
ELECTRIC CONTRACTOR,CONSTRUCTION AND HOME SERVICES,STONES RIVER ELECTRIC,1244 GALLATIN PIKE SOUTH,MADISON,37115,11/14/17
RETAIL INVENTORY OPERATIONS,SHOPPING,TAYLOR MADE BEAUTY SUPPLY,2000 S UNIVERSITY AVE STE L,LITTLE ROCK,72204,8/20/20
TOBACCO PERMIT,PERMITS,WEST 12TH STREET MARKET,4511 W 12TH ST,LITTLE ROCK,72204,4/9/19
UNCLASSIFIED,OTHER,OSAGE ARKMO SURGICAL SERVICES,6339 E SPEEDWAY BLVD STE 201,TUCSON,85710,1/9/19
TREE SERVICE OR PRUNING,CONSTRUCTION AND HOME SERVICES,VELASQUEZ TREE SERVICE,5 REGINA CIR,LITTLE ROCK,72209,1/26/17
CONTRACTORS - HOUSE WRECKERS & MOVERS,CONSTRUCTION AND HOME SERVICES,JONES & ASSOCIATES,2001 RESERVOIR RD STE 30,LITTLE ROCK,72227,7/14/20
CONSULTANTS,PROFESSIONALS,EVB CONSULTING & MARKETING LLC,5 WILLIAMSBURG CIR,LITTLE ROCK,72227,8/10/20
FINANCIAL CONSULTANT,FINANCE - BANKING,PATHWAY FINANCIAL MANAGEMENT,10 CORPORATE HILL DR STE 250,LITTLE ROCK,72212,3/19/08
EVENT PROMOTER,SERVICES,CLASSY EVENTS BY NICOLE,2215 S CEDAR ST,LITTLE ROCK,72204,3/1/16
TELEPHONE EQUIPMENT SALES - MOBILE/CELLULAR,SHOPPING,T-MOBILE,14524 CANTRELL RD STE 140,LITTLE ROCK,72223,5/1/17
MOBILE CANTEEN,FOOD - DRINK,THE GRILL RUNNER CO,2505 MONTREAL DR,LITTLE ROCK,72204,6/22/16
FURNITURE & APPLIANCE DEALERS (NEW),SHOPPING,RANSOM INTERIORS LLC,8301 LEAWOOD BLVD,LITTLE ROCK,72205,11/17/14
INTERNET SALES,SHOPPING,GREEK LOVE BOUTIQUE,3403 MALLOY ST,LITTLE ROCK,72204,2/12/19
LANDSCAPING,CONSTRUCTION AND HOME SERVICES,CLASSIC DESIGN LAWN AND LANDSCAPING,75 KINGSPARK RD,LITTLE ROCK,72227,1/29/18
TELEPHONE EQUIPMENT SALES - MOBILE/CELLULAR,SHOPPING,SPRINT SPECTRUM LP,2612 S SHACKLEFORD RD #A,LITTLE ROCK,72205,5/3/12
DRY CLEANING & PRESSING ESTABLISHMENTS,SERVICES,MAX CLEANERS,12310 CHENAL PKY,LITTLE ROCK,72211,1/19/16
REAL ESTATE,REAL ESTATE,DONALD BRIXLEY,10802 CHICOT RD,LITTLE ROCK,72103,2/28/11
CONSULTANTS,PROFESSIONALS,JAZZY BODIES,1615 W DAISY L GASTON BATES DR,LITTLE ROCK,72202,4/25/18
ADMINISTRATIVE OFFICE,SERVICES,ENDANGERED SPECIES BLACK LEADERSHIP MEDIA GROUP,1124 DR MARTIN LUTHER KING DR,LITTLE ROCK,72202,10/16/20
ADMINISTRATIVE OFFICE,SERVICES,CRAIG LOGISTICS AND SERVICE'S,10123 PROSPECT LOOP,LITTLE ROCK,72209,8/13/20
RESTAURANTS,FOOD - DRINK,TAZIKI'S - BASS PRO,10800 BASS PRO PKY,LITTLE ROCK,72205,3/17/17
JANITORIAL SERVICES,SERVICES,V & C CLEANING SERVICE,9 WOODCREST CT,LITTLE ROCK,72209,6/19/15
"CONTRACTORS, ROOFING OR PAINTING",CONSTRUCTION AND HOME SERVICES,RIDGE VALLEY EXTERIORS,250 CHURCHILL CT # 100,WOODSTOCK,30188,4/28/11
"A/C & HTG DEALERS, SALES & INSTALLATION",CONSTRUCTION AND HOME SERVICES,TDR CONTRACTORS INC,1523 W TYLER ST,GILMER,75644,3/5/13
MACHINERY DEALER - NEW,AUTOMOBILE - MACHINERY-TRANSPORTATION,BARRON INDUSTRIAL SOLUTIONS INC,4824 DEER DR,PARON,72122,6/18/13
PEDDLERS,SHOPPING,L.B. ENTERPRISES,9820 TAMELA DR,LITTLE ROCK,72209,5/1/09
BARBER/BEAUTY OPERATORS,HEALTH AND BEAUTY SERVICES,SALON BENEFITS,12310 CHENAL PKY #4 STUDIO 8,LITTLE ROCK,72211,11/4/13
CONTRACTORS - GENERAL BUILDING,CONSTRUCTION AND HOME SERVICES,CASEY'S CONSTRUCTION,18703 ARCH ST,LITTLE ROCK,72206,9/29/16
INTERNET SALES,SHOPPING,SEVEN PURPOSES,3400 S BOWMAN RD #1811,LITTLE ROCK,72211,12/27/18
JANITORIAL SERVICES,SERVICES,PERSEVERING INITIATIVES,12105 BIG RIDGE CIR,ALEXANDER,72002,7/31/18
CONTRACTORS - GENERAL BUILDING,CONSTRUCTION AND HOME SERVICES,MARTINEZ REMODELING,3023 POTTER ST,LITTLE ROCK,72204,12/3/07
RESTAURANTS,FOOD - DRINK,ARBY'S #5003022,2704 S SHACKLEFORD RD,LITTLE ROCK,72205,11/26/18
PHARMACY,HEALTH AND BEAUTY SERVICES,CITY PHARMACY,1801 S BROADWAY ST,LITTLE ROCK,72206,10/3/14
LANDSCAPING,CONSTRUCTION AND HOME SERVICES,BOYD'S MOWTIVATED LAWN & LANDSCAPING LLC,6621 YOUNG RD,LITTLE ROCK,72209,5/11/20
RETAIL INVENTORY OPERATIONS,SHOPPING,KIRKLAND'S #617,12801 CHENAL PKY,LITTLE ROCK,72211-3300,10/11/10
TOBACCO PERMIT,PERMITS,UNIVERSITY SHELL (SHELL #80),3200 S UNIVERSITY AVE,LITTLE ROCK,72204,1/15/04
INTERIOR DECORATORS & DESIGNERS,PROFESSIONALS,FELEECIA JEFFERSON INTERIORS,115 HIDDEN VALLEY LOOP,MAUMELLE,72113,6/24/09
INTERNET SALES,SHOPPING,BEAUTI ON EDGE LLC,3820 ZION ST,LITTLE ROCK,72204,8/7/19
INTERNET SALES,SHOPPING,BLUSH COUTURE,2214 PERRY ST #B,LITTLE ROCK,72205,5/29/20
REAL ESTATE,REAL ESTATE,LORENZO & ETHEL PETTIES,11901 SARDIS RD,MABELVALE,72103,9/14/10
PEDDLERS,SHOPPING,KRISTIE'S BASKETS,10208 MILKYWAY DR,LITTLE ROCK,72209,2/10/12
BARBER/BEAUTY OPERATORS,HEALTH AND BEAUTY SERVICES,THE VANITY,11815 MARA LYNN RD #2,LITTLE ROCK,72211,10/9/19
CONVENIENCE MARTS,SHOPPING,PICK N PLAY INC,716 E 9TH ST,LITTLE ROCK,72202,6/29/17
REAL ESTATE,REAL ESTATE,GALLERIA SHOPPING CENTER,9700 N RODNEY PARHAM RD,LITTLE ROCK,72227,7/11/16
JANITORIAL SERVICES,SERVICES,MICHAEL'S CLEANING SERVICE,8701 INTERSTATE 30 APT 35,LITTLE ROCK,72209,7/12/19
TELEPHONE EQUIPMENT SALES - MOBILE/CELLULAR,SHOPPING,AT&T MOBILITY,17801 CHENAL PKY STE D,LITTLE ROCK,72223,5/29/15
REAL ESTATE,REAL ESTATE,JIM K. LIMBERG RENTAL PROPERTIES,7123 KINGWOOD RD,LITTLE ROCK,72207,1/25/11
MOBILE CANTEEN,FOOD - DRINK,DOGGZ GONE WILD,9813 W MARKHAM ST,LITTLE ROCK,72205,8/11/20
DRY CLEANING & PRESSING ESTABLISHMENTS,SERVICES,MS. T'S CLEANING & ALTERATIONS,4504 ASHER AVE,LITTLE ROCK,72204,6/26/15
RESTAURANTS,FOOD - DRINK,EJ'S EATS AND DRINKS,523 CENTER ST,LITTLE ROCK,72201,1/5/18
INTERNET SALES,SHOPPING,BIRDMAN 501 FLY TYING,4300 BOWMAN RD #20,LITTLE ROCK,72210,10/22/19
HEALTH SPA/FITNESS CENTER,HEALTH AND BEAUTY SERVICES,CROSS FIT MIDPOINT,7 CLEARWATER DR STE A,LITTLE ROCK,72204,7/5/19
INTERNET SALES,SHOPPING,HILLCREST WATERBUGS,104 RIDGEWAY DR,LITTLE ROCK,72205,8/29/18
REAL ESTATE,REAL ESTATE,EUGENE L. FULTZ,1269 E GROVE AVE,LAKE WALES,33853,1/24/11
LEGAL SERVICES AGENCY,SERVICES,COURTHOUSE CONCEPTS INC,2207 HIDDEN VALLEY DR STE 206,LITTLE ROCK,72212,3/27/14
REAL ESTATE,REAL ESTATE,PEEPLES INVESTMENTS LLLP,47 HICKORY HILLS CIR,LITTLE ROCK,72212,2/17/11
REAL ESTATE,REAL ESTATE,BILLY D. HUNT,7415 TWIN OAKS RD,LITTLE ROCK,72209-7443,1/7/11
LANDSCAPING,CONSTRUCTION AND HOME SERVICES,LOTT LAWN SERVICE,3424 ELM ST,LITTLE ROCK,72204,6/26/20
PEDDLERS,SHOPPING,ASSURANCE WIRELESS,205 NORTHEASTERN AVE,JACKSONVILLE,72076,10/14/19
AUTOMOBILE & TRUCK DEALERS,AUTOMOBILE - MACHINERY-TRANSPORTATION,CRAIN RV,9801 INTERSTATE 30,LITTLE ROCK,72209,7/23/09
ADMINISTRATIVE OFFICE,SERVICES,CHENAL TECHNOLOGIES,9 BRETAGNE CIR,LITTLE ROCK,72223,1/11/16
CATERING SERVICE,FOOD - DRINK,COUNT PORKULA/ROCK BBQ CATERING CO,1212 E 6TH ST,LITTLE ROCK,72202,9/1/17
BARBER/BEAUTY OPERATORS,HEALTH AND BEAUTY SERVICES,MC HAIR STUDIO,14524 CANTRELL RD STE 130,LITTLE ROCK,72223,10/8/20
REAL ESTATE,REAL ESTATE,GUS WHISENANT,6324 JEANNE DR,MABELVALE,72103,2/23/11
ATTORNEYS,PROFESSIONALS,"MCDANIEL, WOLF & BENCA PLLC PLLC",1307 W 4TH ST,LITTLE ROCK,72201,1/30/15
LANDSCAPING,CONSTRUCTION AND HOME SERVICES,STEWART CLARK INC,11101 DAVID O DODD RD,LITTLE ROCK,72204,2/14/11
RETAIL INVENTORY OPERATIONS,SHOPPING,QTEE'S APPAREL & MORE LLC,7415 COLONEL GLENN RD STE 24,LITTLE ROCK,72204,1/27/21
CONTRACTORS - GENERAL BUILDING,CONSTRUCTION AND HOME SERVICES,BRUCE MCDANIEL ROOFING & HOMEIMPROVEMENT,4322 W 21ST ST,LITTLE ROCK,72204,8/30/11
BEER PERMIT-RETAIL,PERMITS,THE KROGER CO #582,10300 N RODNEY PARHAM RD,LITTLE ROCK,72227,1/1/87
CLOTHING - RETAIL,SHOPPING,ESSENCE ENTERPRISES,1520 MACON DR STE A1,LITTLE ROCK,72211,10/29/15
REAL ESTATE,REAL ESTATE,BENNIE K. STEPHENS,5737 LARCH PL,LITTLE ROCK,72209,2/17/11
ADMINISTRATIVE OFFICE,SERVICES,ARHT LLC,7509 CANTRELL RD STE 103A,LITTLE ROCK,72207,1/8/15
JANITORIAL SERVICES,SERVICES,QUALITY CLEANING SERVICES,615 W 32ND ST,LITTLE ROCK,72206,1/19/21
TOBACCO PERMIT,PERMITS,FAST MART INC,4920 BASELINE RD,LITTLE ROCK,72209,11/9/00
MOBILE CANTEEN,FOOD - DRINK,ELOTES PETER,18 ROCCO DR,LITTLE ROCK,72209,9/8/15
MOBILE CANTEEN,FOOD - DRINK,GIT N MUH BELLY,1148 N NASH RD,ALEXANDER,72002,8/28/19
INTERNET SALES,SHOPPING,MARIE'S MARVELOUS & VIBRANT PRODUCTIONS LLC,8609 SHELLEY DR,LITTLE ROCK,72209,4/15/19
REAL ESTATE,REAL ESTATE,NANCY & RICARDO ELIZALDE,24040 NICOLE WAY,YORBA LINDA,92887,2/7/13
BROKERS,FINANCE - BANKING,TIM VAUGHAN PRINTING PLUS LLC,19217 QUAIL RUN DR,LITTLE ROCK,72210,8/19/10
BARBER/BEAUTY OPERATORS,HEALTH AND BEAUTY SERVICES,BOON HANDS,8414 GEYER SPRINGS RD STE 6,LITTLE ROCK,72209,7/17/14
RESTAURANTS,FOOD - DRINK,CHICK-FIL-A,6201 W MARKHAM ST,LITTLE ROCK,72205,12/29/20
PHARMACY,HEALTH AND BEAUTY SERVICES,GENOA HEALTHCARE LLC,10025 W MARKHAM ST,LITTLE ROCK,72205,3/31/17
REAL ESTATE,REAL ESTATE,ADRIAN AND THELMA HUNTER,8605 HERRICK LN,LITTLE ROCK,72209,2/21/11
PHOTOGRAPHERS AND/OR PORTRAIT PAINTERS:,SERVICES,ELLEN HUBBARD PHOTOGRAPHY,9 MCKINLEY CIR,LITTLE ROCK,72207,3/17/17
EMPLOYMENT AGENCY,SERVICES,ARKANSAS MEDICAL STAFFING LLC,11701 INTERSTATE 30 STE 308,LITTLE ROCK,72209,2/6/08
RESTAURANTS,FOOD - DRINK,RH CATERING,1620 MARKET ST STE 2,LITTLE ROCK,72204,8/2/12
INTERNET SALES,SHOPPING,LULU AND COMPANY LLC,1508 KAVANAUGH BLVD,LITTLE ROCK,72205,3/6/19
MASSAGES AND BATHS,HEALTH AND BEAUTY SERVICES,FOUR12 BODYWORKS THERAPY,6221 COLONEL GLENN RD STE C,LITTLE ROCK,72204,10/1/19
INTERNET SALES,SHOPPING,PENGWYNNE ART,30 PENNSYLVANIA CT,LITTLE ROCK,72223,6/5/12
ENGINEERS,PROFESSIONALS,CAROLLO ENGINEERS INC,4600 E WASHINGTON ST STE 500,PHOENIX,85034,1/18/18
REAL ESTATE,REAL ESTATE,TERRACE GREEN APARTMENTS,8223 SCOTT HAMILTON DR,LITTLE ROCK,72209,4/19/94
ATTORNEYS,PROFESSIONALS,MURPHY LAW FIRM PLLC,1616 BROOKWOOD DR,LITTLE ROCK,72202,11/19/20
REAL ESTATE,REAL ESTATE,METAMORPHOSIS,3914 W 11TH ST,LITTLE ROCK,72204,8/12/20
BAKERIES...RETAIL,FOOD - DRINK,LILY CHANEL SWEETS,2617 ALLIS ST,LITTLE ROCK,72204,3/16/15
DENTISTS,HEALTH AND BEAUTY SERVICES,MARKHAM FAMILY DENTISTRY,5500 W MARKHAM ST,LITTLE ROCK,72205,11/4/16
INTERNET SALES,SHOPPING,FACENMADE,11225 GROVE LN,LITTLE ROCK,72209,7/27/20
INTERNET SALES,SHOPPING,ROSE SHOWROOM INC,1017 W 15TH ST,LITTLE ROCK,72202,1/16/20
MIXED DRINK PERMIT,PERMITS,CIAO-BACI,605 BEECHWOOD ST,LITTLE ROCK,72205,10/29/01
RETAIL INVENTORY OPERATIONS,SHOPPING,MARSHALLS OF MA INC,16105 CHENAL PKY #C,LITTLE ROCK,72223,3/29/12
REPAIR SHOPS/SERVICE,SERVICES,OCM SOLUTIONS LLC,12700 GENERAL DR,CHARLOTTE,28273,8/23/18
CHIROPRACTORS,HEALTH AND BEAUTY SERVICES,INJURY REHAB CLINIC OF ARKANSA,1100 N UNIVERSITY AVE STE 47,LITTLE ROCK,72207,12/1/16
FREELANCERS,PROFESSIONALS,JEMCO NUMISMATICS LLC,5917 N COUNTRY CLUB BLVD,LITTLE ROCK,72207,1/30/14
"COMPUTER SERVICES, HOME BASED",SERVICES,STRATEGIC TECHNOLOGIES CORP,6 INNWOOD CIR,LITTLE ROCK,72211,5/29/09
INTERNET SALES,SHOPPING,CLASSY BY COOKIE,10000 W MARKHAM ST APT 19,LITTLE ROCK,72205,2/22/18
VENDING MACHINES,FOOD - DRINK,COINSTAR ASSET HOLDING LLC,16105 CHENAL PKY STE B,LITTLE ROCK,72223,9/16/15
CATERING SERVICE,FOOD - DRINK,BURGER HOUSE,3319 JOHN BARROW RD,LITTLE ROCK,72204,2/19/20
AUTOMOBILE TIRES,AUTOMOBILE - MACHINERY-TRANSPORTATION,A-PLUS TIRE OUTLET LLC,5419 ASHER AVE,LITTLE ROCK,72209,9/11/17
RESTAURANTS,FOOD - DRINK,JUST FOR YOU,2906 S UNIVERSITY AVE,LITTLE ROCK,72202,11/5/12
WAREHOUSE KEEPERS/MINI STORAGE,SERVICES,CHENAL STORAGE CENTER,15601 KANIS RD,LITTLE ROCK,72223,2/9/16
"CONTRACTORS, ROOFING OR PAINTING",CONSTRUCTION AND HOME SERVICES,M & S REFINISHING PAINTING LLC,11221 LEGION HUT RD #56,MABELVALE,72103,3/29/07
RETAIL INVENTORY OPERATIONS,SHOPPING,THE FIRE HOUSE BY LJ LLC,2004 S PINE ST,LITTLE ROCK,72204,7/21/20
CRAFTS,SHOPPING,GARROD'S HOME AND GIFTS,918 N COOLIDGE ST,LITTLE ROCK,72207,8/9/16
FURNITURE & APPLIANCE DEALERS (NEW),SHOPPING,NORRIS FURNITURE,3900 JOHN BARROW RD STE 1,LITTLE ROCK,72204,5/23/13
BEER PERMIT-RETAIL,PERMITS,GRADY'S,6801 W 12TH ST # C,LITTLE ROCK,72204,1/1/87
LANDSCAPING,CONSTRUCTION AND HOME SERVICES,BRAD SUEN LLC,3707 JACK MANN RD,LITTLE ROCK,72210,3/30/20
REPAIR SHOPS/SERVICE,SERVICES,J1 AUTOMOTIVE SERVICES LLC,6015 MITCHELL DR,LITTLE ROCK,72209,8/17/20
BARBER/BEAUTY OPERATORS,HEALTH AND BEAUTY SERVICES,BEYOND NAILS & SPA,900 N UNIVERSITY AVE #3,LITTLE ROCK,72207,3/19/12
RESTAURANTS,FOOD - DRINK,HOMER'S WEST,9700 N RODNEY PARHAM RD STE A,LITTLE ROCK,72227,8/2/12
"KINDERGARTEN, DAYCARE OR NURSERY SCHOOL",EDUCATION,THE CENTER OF EARLY LEARNING,6020 RANCH DR # 3,LITTLE ROCK,72223,7/1/09
INTERNET SALES,SHOPPING,DOPE MELANIN,13600 WIMBLEDON LOOP APT 138,LITTLE ROCK,72210,10/2/20
CONTRACTORS - GENERAL BUILDING,CONSTRUCTION AND HOME SERVICES,IDEAL CONSTRUCTION COMPANY,11225 HURON LN STE 105,LITTLE ROCK,72211,3/20/13
UNCLASSIFIED,OTHER,FIRSTRX. LLC,33 LONGWELL LOOP,LITTLE ROCK,72211,12/31/18
INTERNET SALES,SHOPPING,XMOONLIA,16804 LAMARCHE DR,LITTLE ROCK,72223,7/13/20
CONTRACTORS - GENERAL BUILDING,CONSTRUCTION AND HOME SERVICES,MWF CONSTRUCTION LLC,200 W ROOSEVELT RD,LITTLE ROCK,72206,12/3/18
MEDICAL DOCTOR,HEALTH AND BEAUTY SERVICES,BRAIN CHANGE CENTER OF ARKANSAS LLC,401 N MCKINLEY ST STE 101,LITTLE ROCK,72205,6/11/19
REAL ESTATE,REAL ESTATE,JOHN A. & EDNA MATTINGLY,7616 WOODSON RD,LITTLE ROCK,72209,10/4/10
BARBER/BEAUTY OPERATORS,HEALTH AND BEAUTY SERVICES,PHOENIX MOBILE HAIR CARE,1615 S PINE ST,LITTLE ROCK,72204,8/5/20
MOTORCYCLE DEALERS,AUTOMOBILE - MACHINERY-TRANSPORTATION,RICHARDS INC,6600 S UNIVERSITY AVE,LITTLE ROCK,72209,1/1/87
RETAIL INVENTORY OPERATIONS,SHOPPING,Q CLOTHIER LITTLE ROCK LLC,17711 CHENAL PKWY,LITTLE ROCK,72223,12/16/19
AUTOMOBILE FOR HIRE (PROFIT),AUTOMOBILE - MACHINERY-TRANSPORTATION,BJ TRANSPORTATION,3520 W 69TH ST # 304,LITTLE ROCK,72209,3/25/10
"HAULERS, DELIVERY COMPANIES, COMMERCIAL HAULERS",SERVICES,RON'S ERRANDS,5417 BRUSH CREEK AVE,LITTLE ROCK,72206,9/9/19
CONTRACTORS - GENERAL BUILDING,CONSTRUCTION AND HOME SERVICES,RUSH AND CO INC,581 VALLEY CLUB CIR,LITTLE ROCK,72212,2/19/13
INTERIOR DECORATORS & DESIGNERS,PROFESSIONALS,CARRIE KIDD DESIGN LLC,313 W 2ND ST,LITTLE ROCK,72201,10/2/17
"A/C & HTG DEALERS, SALES & INSTALLATION",CONSTRUCTION AND HOME SERVICES,MEMPHIS HEAT AND AIR,2884 CARGO CIR,MEMPHIS,38118,3/28/16
REAL ESTATE,REAL ESTATE,VALERIE NEAL,25 WALNUT VALLEY DR,LITTLE ROCK,72209,3/17/11
COURIER SERVICES,SERVICES,2 2 4 U TRANSPORTATION LLC,3606 STONEHEDGE DR,LITTLE ROCK,72204,11/15/17
CONTRACTORS - GENERAL BUILDING,CONSTRUCTION AND HOME SERVICES,STEVE CLEMENTS CONSTRUCTION SERVICES,1 MANOR CIR,LITTLE ROCK,72210,11/24/17
REAL ESTATE,REAL ESTATE,WHISINVEST REALTY LLC,1400 KIRK RD STE 110,LITTLE ROCK,72223,10/20/15
"CHEMICAL AGENTS/SALESMEN, EACH",PROFESSIONALS,TOWNLEY POOL SUPPLY INC,12911 CANTRELL RD #2A,LITTLE ROCK,72223,1/1/87
LANDSCAPING,CONSTRUCTION AND HOME SERVICES,MCINTIRE'S LAWNCARE LLC,18917 MANTLE LN,ROLAND,72135,2/4/08
CONVENIENCE MARTS,SHOPPING,RODNEY PARHAM SUPERSTOP,9718 N RODNEY PARHAM RD,LITTLE ROCK,72227,4/24/17
MOBILE CANTEEN,FOOD - DRINK,MOORE 2 U & DKZ,3808 WHITFIELD ST,LITTLE ROCK,72204,7/9/20
REAL ESTATE,REAL ESTATE,CLYDE L. JONES,2919 S ARCH ST,LITTLE ROCK,72206,1/14/14
REAL ESTATE,REAL ESTATE,SINGLE TREE REALTY,1811 FOREMAN DR,LITTLE ROCK,72227,1/13/11
UNCLASSIFIED,OTHER,PREMIER POLISHING SYSTEMS,7001 W MARKHAM ST,LITTLE ROCK,72205,2/18/16
"CONTRACTORS, ROOFING OR PAINTING",CONSTRUCTION AND HOME SERVICES,HARNESS ROOFING INC,11300 OTTER CREEK EAST BLVD,MABELVALE,72103,9/10/08
AUTOMOBILE & TRUCK DEALERS,AUTOMOBILE - MACHINERY-TRANSPORTATION,LATINO'S AUTO,5415 BASELINE RD,LITTLE ROCK,72209,1/5/18
MOBILE CANTEEN,FOOD - DRINK,MINUTE MAN JAX LLC,120 JOHN HARDEN DR STE 1,JACKSONVILLE,72076,2/1/21
REPAIR SHOPS/SERVICE,SERVICES,SHENDO'S CUSTOM,4410 W 30TH ST,LITTLE ROCK,72204,3/9/12
WAREHOUSE KEEPERS/MINI STORAGE,SERVICES,RIVER CITY REFRIGERATED STORAGE LLC,5301 SCOTT HAMILTON DR,LITTLE ROCK,72209,2/13/20
TANNING SALON,HEALTH AND BEAUTY SERVICES,MCBRYDE MOBILE SPRAY TANS,7 OAKHURST DR,LITTLE ROCK,72202,6/11/20
CLOTHING - RETAIL,SHOPPING,LANE BRYANT INC #4208,11201 BASS PRO PKY #M-105,LITTLE ROCK,72210,10/27/15
TOBACCO PERMIT,PERMITS,WDFG LITTLE ROCK JV,1 AIRPORT RD PRE SECURITY,LITTLE ROCK,72202,1/24/20
REAL ESTATE,REAL ESTATE,CARLE PROPERTIES,10515 W MARKHAM ST,LITTLE ROCK,72205,12/4/20
LIQUOR STORE,FOOD - DRINK,SALUTE WINE AND SPIRITS,10700 W MARKHAM ST,LITTLE ROCK,72211,12/23/16
FINANCIAL CONSULTANT,FINANCE - BANKING,LCPB FINANCIAL SERVICES LLC,1501 RAHLING RD APT 303,LITTLE ROCK,72223,4/18/19
GIFT SHOP,SHOPPING,EVERYDAY CHEF LLC,11525 CANTRELL RD STE 206,LITTLE ROCK,72212,5/31/17
REAL ESTATE,REAL ESTATE,MARKHAM SQUARE,9101 W MARKHAM ST,LITTLE ROCK,72205,12/2/16
MOBILE CANTEEN,FOOD - DRINK,POTATOE DOG,1722 S BATTERY ST,LITTLE ROCK,72202,6/24/15
PEDDLERS,SHOPPING,TAMMY WHITE INC,120 LILY DR,MAUMELLE,72113,9/23/19
INTERNET SALES,SHOPPING,ELLE BOUTIQUE,419 BOB WHITE DR APT 153,LITTLE ROCK,72205,5/28/20
RENTALS,SHOPPING,FATHER & SON CONCESSION TRAILER RENTAL LLC,2 WESTFIELD LOOP,LITTLE ROCK,72210,5/11/18
REPAIR SHOPS/SERVICE,SERVICES,QUICK LUBE & OIL CHANGE,5620 ASHER AVE,LITTLE ROCK,72204,1/1/87
JANITORIAL SERVICES,SERVICES,SPLASH T CLEANING SERVICE,21 SOUTHERN HILL CIR #4,LITTLE ROCK,72210,1/27/15
PHARMACY,HEALTH AND BEAUTY SERVICES,D&D PHARMACY LLC,8908 KANIS RD STE 350,LITTLE ROCK,72205,9/25/19
REAL ESTATE,REAL ESTATE,HANEY CUSTOM HOMES LLC,2228 COTTONDALE LN #200,LITTLE ROCK,72202,1/13/11
REAL ESTATE,REAL ESTATE,KATHY S. KUMPE,237 HUNTERS RUN DR,BENTON,72015,2/16/11
"BUSINESS/DATA PROC/OFFICE MACHINES, PHOTOCOPYING EQUIPMENT SALES/SERVICE",SERVICES,DATAFIX INC,5101 W 65TH ST,LITTLE ROCK,72209,1/1/87
APPRAISERS,CONSTRUCTION AND HOME SERVICES,SAM STORTHZ III,810 N UNIVERSITY AVE,LITTLE ROCK,72205,1/1/87
ATTORNEYS,PROFESSIONALS,THE LAW OFFICES OF ERIC D. WEWERS PLLC,415 N MCKINLEY ST STE 1000,LITTLE ROCK,72205,6/10/09
RETAIL INVENTORY OPERATIONS,SHOPPING,ELECTRIC GHOST SCREEN PRINTING,1218 S MAIN ST,LITTLE ROCK,72202,9/6/16
REAL ESTATE,REAL ESTATE,DK BLESSED PROPERTIES LLC,5612 OAKHURST DR,SEMINOLE,33772,1/25/11
REAL ESTATE,REAL ESTATE,RIVERFRONT PLAZA #2,1 ALLIED DR,LITTLE ROCK,72202,1/1/13
AUTOMOBILE FOR HIRE (PROFIT),AUTOMOBILE - MACHINERY-TRANSPORTATION,DUGGER'S TRANSPORTATION LLC,14605 CLINTON RD,NORTH LITTLE ROCK,72118,6/20/19
BAKERIES...RETAIL,FOOD - DRINK,HILLCREST LITTLE BAKERY,203 N VAN BUREN ST,LITTLE ROCK,72205,9/12/19
CONSULTANTS,PROFESSIONALS,THE BRILLIANCE GROUP,7610 ASCENSION RD,LITTLE ROCK,72204,4/29/20
MANUFACTURERS,"WHOLESALE, MANUFACTURERS & DISTRIBUTORS",ARCTURUS AEROSPACE,11225 INTERSTATE 30,LITTLE ROCK,72209,3/24/20
AUTOMOBILE PAINT/BODY SHOP,AUTOMOBILE - MACHINERY-TRANSPORTATION,R&R AUTOMOTIVE & CUSTOM PAINT,1809 PRATT RD,LITTLE ROCK,72206,2/8/16
REAL ESTATE,REAL ESTATE,15400 CHENAL LLC,113 CHENAL HEIGHTS CIR,LITTLE ROCK,72223,3/21/17
"HAULERS, DELIVERY COMPANIES, COMMERCIAL HAULERS",SERVICES,ADJ ENTERPRISES,2012 COMMERCE ST,LITTLE ROCK,72206,10/31/19
CRAFTS,SHOPPING,ELIZABETH & MAXINE LLC,2221 WESTOVER DR,LITTLE ROCK,72207,2/27/12
"ACCOUNTANTS & AUDITORS, LICENSED",FINANCE - BANKING,"KNAPP, CRAIG & RUGG PA",1501 N UNIVERSITY AVE #245,LITTLE ROCK,72207,1/1/87
RESTAURANTS,FOOD - DRINK,U S PIZZA CO - HEIGHTS,5524 KAVANAUGH BLVD,LITTLE ROCK,72207,1/1/87
JEWELRY MANUFACTURER/STORE,SHOPPING,KAY JEWELER'S OUTLET #2981,11201 BASS PRO PKY BLDG C,LITTLE ROCK,72210,9/9/15
JANITORIAL SERVICES,SERVICES,SO FRESH SO CLEAN CLEANING SERVICE,8819 ARCH ST,LITTLE ROCK,72206,8/10/20
WELDING SHOP,SERVICES,MELZ WELDZ,1508 PARHAM POINTE DR APT 12D,LITTLE ROCK,72204,4/12/17
AUTOMOBILE & TRUCK DEALERS,AUTOMOBILE - MACHINERY-TRANSPORTATION,501 AUTO GROUP,7000 S UNIVERSITY AVE,LITTLE ROCK,72209,11/12/19
